Product Code,Product Name,Short Description ,List Price
ECP-BPL-310X-5G-4Y,4-Year EssentialCare+,"for Balance 310X (5G) - includes IC2, 24/7 email ticket support, and AHR","$2,713.00"
SVL-BPL-310X-5G-1Y,1-Year EssentialCare,for Balance 310X (5G) - includes IC2 subscription,$649.00 
SVL-BPL-310X-5G-2Y,2-Year EssentialCare,for Balance 310X (5G) - includes IC2 subscription,"$1,279.00 "
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
LIC-VWAN,1x Virtual WAN Activation License,For MAX HD2 Mini LTE,$200.00
LIC-2VWAN,2x Virtual WAN Activation License,For MAX HD2 Mini LTE,$400.00
LIC-3VWAN,3x Virtual WAN Activation License,For MAX HD2 Mini LTE,$600.00
LIC-10VWAN-MD,Virtual WAN Activation License,Activate 10 x Virtual WAN for Selected Models. ,"$2,336.00 "
